Komentar,Sentimen
"nyesel update aplikasi BMKG, udah setting lokasi alamat saya malah terus-terusan kembali ke awal (Gunung Sahari Selatan) lagi. Tau gitu dari awal jangan di update",Negatif
tolong lah adain fitur widget biar tau kondisi cuaca secara langsung,Negatif
baik sekali,Positif
apps bagus sayang pemberitauan telat....,Netral
jadi tenang kalo ada becana alam jadi penyelat semua jadi aman,Positif
"Buatin widget cuaca yang bisa kasih tau info cuaca, g3mpa, kualitas udara, kelembapan dll secara realtime",Positif
"Tidak percaya dengan prakiraan cuaca, tidak membuktikan asli dengan situasi dan kondisi real terkini ditempat saya. Setelah saya riset prakiraan hanyala tipuan belaka.",Negatif
Berguna sekali.,Positif
kurang akurat,Negatif
good,Positif
sangat akurat,Positif
"prakiraan cuacanya update doong, update. Prediksi berawan, tau tau hujan lebat",Negatif
"Gak ada akurat2nya ini aplikasi, kadang malu juga Makai aplikasi nihh, namanya aja yg mantab tapi hasilnya parah. berbenah lah lagi secepatnya.. seperti aplikasi tak bertuan😓",Negatif
SAMSUNG GALAXY j4,Netral
Sangat canggih,Positif
"Dapat informasi gempa bumi cepat dan akurat, mantab.",Positif
"Tolong dong berita gempa itu di update secepatnya, Di google itu gempa udah ada updatenya tapi di bmkg nggak ada di update jg.",Negatif
04 September 2025 Barusan ada gempa beberapa menit yg lalu tapi dari BMKG belum ada penjelasannya.,Negatif
gak realtime ngasih tau info gempa nya,Negatif
bagus aplikasinya,Positif
ok,Positif
"untuk notifikasi klo ada gempa kenapa lambat bgt,. semisal ada gempa jam 8 notif y baru muncul sejam setelah nya... parah bgt..",Negatif
mantap,Positif
"tidak akurat katanya cerah berawan gak taunya hujan bikin rugi hasil panen akhirnya banyak yg rusak,",Negatif
kesini cuma karena ada vtuber shinna di akun tiktok stasiun Geofisika Gowa,Netral
"Usahakan kalau bikin aplikasi yang bisa di gunakan di hp ram besar dan ram kecil,usahakan aplikasi bisa di gunakan di andrid versi 4kitkat.sekian dan terimakasih.",Negatif
"ga akurat untuk cuacanya, bahkan sangat sangat ga akurat, diprediksi hujan malah terang, terang malah hujan. klo ada hujan prediksi langsung dirubah, smua orang jga bsa klo seperti itu mh.",Negatif
"lokasi cuaca tidak bisa di atur, selalu hanya di gunung sahari",Negatif
sangat membantu,Positif
Tanggal 18 Agustus 2025 pukul 06.39 aplikasi BMKG error. Aplikasi INFO BMKG Tidak memiliki informasi tentang Vulkanologi. Informasi Vulkanologi itu kan ranahnya BMKG. Kedepannya info BMKG menambahkan Info aktivitas Vulkanik supaya pendaki atau orang yang beraktifitas dekat dengan vulkano tahu indikasi bahaya atau tidak nya.,Negatif
"sangat bermanfaat,",Positif
"aplikasi udah Bagus, tapi saya ingin request ada mode gelap di aplikasi ini terimakasih 🙏🏻",Netral
Halo! Bisakah saya mendapatkan info selengkapnya tentang ini?,Netral
aplikasi buatan pemerintah yang paling worth it 😍 semangat terus buat developernya 🫰,Positif
"gabisa menampilkan lokasi terkini yg akurat, serta pemberitahuan bencana nya telat terus.",Negatif
"Radar cuaca mati,min!!",Negatif
Sangat Akurat dan Cepat Dalam Memberikan informasi tentang Cuaca.,Positif
udah jauh jauh lebih baik tapi sekarang ada bug uv index tidak bisa ditampilkan dan saya harap bisa zoom in gambar peta peringatan cuacanya. karena terlalu kecil untuk dilihat. + fitur radarnya ga berfungsi,Negatif
"biasanya pemberitahuannya lambat banget biasa jga gak ada pdhl jelas"" di sini ada gempa",Negatif
aplikasinya gabisa dibuka👎,Positif
gempa di jakarta notifikasi 1 jam setelah kejadian..... bagaimana ini,Negatif
kenapa punya ku jadi hitam doang. ga nongol aplikasinya?,Negatif
knpa hbis di update apknya jdi item doang layarnya kek loding mulu mana lama😕,Negatif
"Masih kurang akurat, gempa udh terjadi, 30 menit kemudian notifnya baru muncul",Negatif
BMKG Sangat berguna untuk Impo gempa bumi,Positif
bagus,Positif
"tambahkan opsi pengaturan utk notifikasi. cthnya sprti apakah notifikasi utk cuaca / gempa, lalu bisa di filter jarak dari titik, minimal amplitudo, dan lainnya. nah nanti advance nya notifikasi berbentuk voice text to speech.nggak usah pakai fitur voice search segala, pasti yg pakai dikit.",Positif
bagus sekali,Positif
min bisa gak di atur tampilan terang dan gelap biar mata gak silau terimakasih 🙏,Netral
Sangat Bermanfaat Info Real Time,Positif
bagussss,Positif
lambat,Negatif
"aplikasi sama kejadian beda jauh. selisih sekitar 30,menit.",Negatif
"sekarang aplikasinya kurang uptudate, ada gempa / hujan setelah 10menit lebih baru di infoin 🙈🙈🙈 kurang akurat",Negatif
mengapa saat terjadi gempa hari ini tidak ada peringatan.,Negatif
ga bisa dibuka SDH install,Negatif
sebenarnya aplikasi ini bagus dalam memberikan informasi bencana alam mau pun kondisi alam hanya ketepatannya perlu diperbaiki lagi termasuk navigasi dan lokasi,Netral
notifnya lama. ud rame beredar gempa bRu stngah jam kdang Berjam2 Bru muncul tlong perbaiki sistemnya kaya djepang notif cepet KL ad apa²,Negatif
lemoott,Negatif
"apaan aplikasi g ngerti deh in, ad gempa tp notifikasi g ad",Negatif
sangat tepat,Positif
"tolong kalau ada kejadian gempa kabarin secepatnya ini udah setengah jam gempa Bekasi belum ada alarem kalau gempa potensi tsunami bisa mati di seret air,,tolong",Negatif
"informasi mengenai gempa sangat telat, sudah 4 menit sejak gempa belum ada informasi apapun. sangat lambat. harus buka google dulu baru dapat info",Negatif
Gempa jam 20.00.Tgl.20 Agustus 2025.Lokasi Bekasi kedalaman 10 km.APP TIDAK BERGUNA.WAJIB DI UNINSTAL DAN DI HAPUS DARI PLAY STORE !!!,Negatif
malu lah punya negara kok g akurat,Negatif
"kenapa jadi tidak bisa di buka ya, layar nya menjadi hitam",Negatif
barusan ada gempa. apk ini tidak ngasih info ap2.,Negatif
"gak cepat update kejadian,gak ada alarm pencegahan dini",Negatif
"heran kok gabisa set lokasi secara akurat, mana melenceng jauh",Negatif
kurang real-time.. 5- 10 menit baru ad notif,Negatif
telat ga update,Negatif
ga akurat,Negatif
"usahakan kalau bikin aplikasi ukuran mb jangan besar-besar,usahakan bisa di gunakan di hp ram kecil,usahakan jangan nglek,lemot,usahakan bisa di gunakan di android versi 5 lolipop dan versi 4 kitkat.",Negatif
"Radar cuaca tidak bisa dilihat. Semuanya terlihat polos, tidak ada citra radar cuaca apapun di semua lokasi",Negatif
tanggal 19 Agustus tampilan radar tidak bisa terlihat posisi daerah yang hujan,Negatif
Sangat membantu,Positif
bagus,Positif
Sebenarnya bagus tp akhir2 ini buat buka. Info cuaca... Radar.. Selalu eror dan tdk muncul awan.. Mohon atensinya di perbaiki..!!,Negatif
aplikasinya error. tidak bisa tampilkan data radar. data radar kosong. hp yang di pakai saat ini samsung galaxy m62. mohon diperbaiki. supaya data radar muncul di aplikasi.,Negatif
BMKG sdh mulai tdk akurat. daerah jakarta barat panas cerah dibilang hujan ringan. tolong diprediksi lebih akurat. masa kalah dgn aplikasi lain. yg akurat.,Negatif
untuk aplikasi bmkg bagus cuman saran tambahin widget dong,Netral
udh 2hari radarnya gak muncul citra ujannya anjir cma muncul peta doang 😑,Negatif
"selalu update,, 👍",Positif
"Akurat, cukup lengkap, dan simple, hanya saja sangat disayangkan tidak ada widgetnya",Positif
Bintang 5 (⭐⭐⭐⭐⭐),Positif
tolong benerin radar cuaca sedang bermasalah,Negatif
"lokaskmya stuck di gunung sahari selatan terus,berkali kali atur lokasi,bahkan diketik,tetap lokasi awal lagi, ga akuratlah sama daerah gempanya,saya di padang,kenapa lokasi di jakarta terus",Negatif
Setiap masuk. Selalu saja update lokasi.,Negatif
ini kenapa lokasinya gunung sahari terus deh? kapan update buat perbaikannya min? soalnya mau cek cuaca dan info gempa jadinya susah,Negatif
mantap,Positif
"mantap ,ok.",Positif
terimakasih,Positif
lumayan lah,Positif
"Setelah saya update ke versi 3.4.6 malah aplikasi eror tidak dapat dibuka, mohon diperbaiki updatenya & ditunggu update selanjutnya 🙏",Negatif
masa cuaca di Pangandaran Jawa Barat hujan di peta maps tidak hujan aneh coba di perbarui lagi kondisi terkini,Negatif
"BMKG ga jelas, memprediksi ga akurat , kinerja nya jelek, dimana dimana BMKG bisa cari cara untuk cuacanya gimana supaya ga hujan terus",Negatif
munculnya bunyi dia dong,Negatif
"tolong buatkan suara notifikasi apknya, supaya orang langsung tahu notif gempa secara real-time!!!",Negatif
Sebenarnya Aplikasi ini sangat bagus dan akurat tapi kelemahan nya ada 2; 1. saat masuk harus masukkan lokasi lagi 2. gak ada widget nya seperti aplikasi cuaca yang lain,Netral
assalamualaikum min tolong membaik gak bisa melihat gambar tolong buka gambar error,Negatif
"aku baru install tp kenapa tidak bisa di buka? dulu pernah install tp layarnya hitam semua,tidak bisa di akses....",Negatif
baik,Positif
kurang akurat,Negatif
"maaf aplikasinya tidak akurat, padahal gps sudah aktif tapi tidak bisa mendeteksi lokasi dengan tepat",Negatif
"gk jelas, lokasi di lock gunung sahari. bukan lokasi asliku",Negatif
"min tolong perbaiki lokasinya, saya udah setting ke gps tetep aj lokasinya di Gunung Sahari Selatan",Negatif
Sangat membantu dan bermanfaat,Positif
karna pengen liat situasi trusunami,Positif
"Aplikasi bermanfaat, terima kasih BMKG",Positif
"aplikasi sdh bagus tp sayangnya ga realtime, gempa terjadi jam 14 tp infonya baru muncul jam 16",Negatif
"saat aplikasi dibuka, layar hp saya malah hitam.... tidak menampilkan apa apa",Negatif
bagus,Positif
lumayan bsa tau smua keadaan sekitar kita,Positif
dapat info peringatan dini tsunami jam 08.24 sedangkan kejadian gempa jam 06.24 buset 2 jam baru datang infonya,Negatif
gaknbisa di bukak di aku,Negatif
info selalu up to date,Positif
kok GK bisa di buka aplikasi nya,Negatif
saya kasi bintang 4,Positif
"di daerah sayatelah terjadi gempa,tapi info dari BMKG sangat lambat,sudah 30 menit berlalu dariterjadi gempa,masih belum ada info dari BMKG,sangat mengecewakan,bagaimana jika terjadi gempa lebih dasyat dan tsunami,aplikasi BMKG ini telat menyampaikan peringatan gempa,sangat tidak bermanfaat,percuma di download,kalau info peringatan dari aplikasi BMKG ini telat,orang orang sudah terkena musibah duluan,baru ada info gempa,sangat mengecewakan.",Negatif
membantu mengetahui cuaca,Positif
mantap,Positif
"aplikasi gk akurat, katanya cerah, tapi faktanya hujan tu",Negatif
"untuk aplikasi ini udah bagus tapi sayangnya untuk notifikasi gempa sangat lambat, sudah selesai gempa perlu waktu beberapa menit baru muncul mohon Untuk sistem diperbarui dengan baik",Netral
baik,Positif
Aplikasi Early Warning terbaik👌👌,Positif
bagus,Positif
bad,Negatif
ok,Positif
Apakah tidak bisa dijadikan widget?,Netral
app bagus cuma tampilan ke jadul BNR buat lebih hd lagi kak,Negatif
bagus lah,Positif
Terima kasih BMKG sudah disediakan informasi kwalitas udara .,Positif
tolong lebih di tingkatkan lagi ke akuratan nya dalam meprediksi hujan,Negatif
aplikasi ini sangat membantu kami terhadap informasi cuaca dan kejadian kejadian alam terkini terimakasih,Positif
"setelah diupdate apknya tidak bisa dibuka, hanya layar gelap",Negatif
Ok,Positif
tolong update aplikasi BMKG layarnya error,Negatif
tidak akurat,Negatif
"setelah update tidak bisa keluar aplikasi,harus tekan home dulu..mohon diperbaiki",Negatif
sangat membantu,Positif
Hmm gitulah...,Netral
Bagus,Positif
"bagus kok, cman kalo sinyal ga bener""stabil agak susah ceknya.",Netral
dapat informasi tapi aplikasinya susah dibuka untuk melihat detail infonya,Negatif
"aplikasinya dibukanya susah dan sangat lambat, juga informasi notifnya sangat lambat bahkan info yg sama bisa berkali kali",Negatif
Good.,Positif
Aplikasinya sangat bagus dan akurat.,Positif
OK,Positif
salah ngasih info,Negatif
"perkiraan cuaca nya sering gak akurat, apalagi saya sering menemukan tampilan cuaca saat ini sangat beda dengan semestinya, yang tertera di bmkg hujan ringan dengan suhu 29⁰ sedang kan kondisi terkini yang benar adalah cerah dengan suhu 32⁰. padahal saya sudah memasukan posisi kota yang benar 🗿🗿🗿",Negatif
kok g bisa buka bmkg nya,Negatif
aplikasinya lelet,Negatif
"aplikasi yang sangat tidak akurat, hapus saja aplikasi ini, sangat menipu",Negatif
"Aplikasi nya sangat bagus, Semoga kedepannya lebih canggih dan lebih sangat membantu orang banyak untuk semua informasi nya, dan sukses selalu BMKG",Positif
👍👍👍,Positif
sangat bagus,Positif
kenapa di buka nge blank sih,Negatif
sangat membantu sekali.,Positif
"Aplikasi sampah, semenjak diupdate yang muncul daerah Gunung Sahari Selatan terus, sudah nyalakan GPS juga masih tetap aja sama, masa iya saya setiap kali mau lihat prakiraan cuaca di tempat saya tinggal harus pilih wilayah dahulu secara manual, saya berikan masukan sudah lebih dari satu bulan lalu, tapi tidak ada respon dari pihak pengembang, terus kerja kalian apa, kalian digaji Pemerintah, uang dari pajak rakyat, masa ngurus aplikasi begini aja kalian gak bisa?",Negatif
"Jujur apknya masi jelek contohnya seperti peringatan gempa yang masi lambat, walaupun daerahnya ga gempa tapi tetap dapet notifikasi, peringatan cuaca ekstrim yang kadang muncul kadang tidak padahal kondisi hujan deras. Pake cell broadcast system aja gausa pake apk segala. Kek jaman bahulak aja masi pake apk, negara lain contohnya tetangga kita Thailand aja udah pake Cell Broadcast System bukan aplikasi.",Negatif
"Tolong diperbaiki lagi perihal lokasi GPS-nya, lokasi tidak akurat.",Negatif
mohon tambahkan widget cuaca agar memudahkan untuk lihat info terkini daripada harus buka tutup aplikasi,Negatif
Ok,Positif
ok,Positif
"Lokasinya ga akurat, harus ganti lokasi manual buat cek laporan cuaca",Negatif
"hanya bisa memprediksi, dan memberitahukan kalau sudah kejadian gempa. anak kecil di lokasi gempa juga bisa menyampaikan gempa baru saja terjadi dan dia rasakan. INSTANSI PALING TIDAK BERGUNA. sia sia pajak yg di bayar untuk mereka yang bekerja hanya SPRTI itu. tidak ada Guna nya",Negatif
biasa,Netral
sangat akurat,Positif
"sorry to say saya harus mengatakan aplikasi nya nggak akurat untuk bagian prakiraan cuaca. peringatan dini di kabupaten bogor bukan nya masuk ke peta peringatan dini Jabodetabek malah dimasukan ke peringatan Dini Jawa barat, sedangkan di peta peringatan dini jawa barat tidak memasukan peta Bogor depok dan bekasi. Begitu pula saat memasukan lokasi di kabupaten Bekasi tidak memasukan Peta ke dalam Peringatan Dini Jabodetabek akan tetapi malah masuk peringatan Dini Jawa Barat.",Negatif
tidak akurat sama sekali,Negatif
👍tepat,Positif
hebat,Positif
akurasinya bagus,Positif
sangat cocok,Positif
"bisa membantu cuaca di laut,,jadi saya bisa mengetahui cuaca laut",Positif
"Aplikasi BMKG ini sangat membantu, terimakasih",Positif
sangat baik,Positif
josss mantap,Positif
"tidak akurat sama sekali 😕 aplikasi seperti ini harusnya sangat berguna bagi para petani. yang harusnya kami gunakan untuk memantau cuaca selama seharian full untuk menjemur hasil tani malah tidak berfungsi kami lihat di aplikasi cerah, kami segera menjemur hasil tani kami tapi kenyataannya hujan turun dengan deras dan tidak sempat mengangkat hasil tani kami dengan cepat",Negatif
"kurang update real time nya, ada gempa sekitar 10 menit baru update di app nya",Negatif
"cuaca di bmkg dengan realitanya berbanding terbalik, di bmkg hujan , aslinya cerah cuacanya, haduh parah",Negatif
untuk lokasinya kenapa ga bisa diganti ya.. selalu Gunung sahari selatan 🥲,Negatif
sangat bermanfaat,Positif
"telat mulu ngasih info nyaa,!!",Negatif
lebih bagus kalo ada widget,Netral
"untuk pemakaian di pulau sumatra setelah pembaruan lokasi tidak akurat, tidak otomatis, perkiraan cuaca juga tidak akurat",Negatif
mantap,Positif
sangat bermanfaat,Positif
"udah dri dlu aku pke aplikasi ini, tp kenapa sekrang tiba2 ngga bisa ke buka ya",Negatif
sudah tahun 2025 masih saja belum menyediakan widget !,Negatif
Cuacanya gak bisa tepat waktu & akurat,Negatif
Mantap,Positif
"Walaupun gps sudah aktif, lokasinya tetap Gunung Sahari",Negatif
"tidak bisa pasang lokasi, terkunci di Jakarta",Negatif
"untuk data yg diberikan sudah lumayan komplit, tapi aplikasi ini sering gangguan. Mohon untuk tim developer BMKG untuk dikembangkan lagi aplikasinya.",Negatif
ko ga bisa masuk,Negatif
"Sangat membantu dan akurat. hanya saja sesudah update yg terakhir kali, aplikasinya error. sering tertutup saat baru saja dibuka. Mohon bantuannya",Negatif
bagus,Positif
Amazing,Positif
gk prnh akurat sma akli🤣😅😂,Negatif
sangat membantu,Positif
"Apknya bguss sklii,,akurat sklii untuk wilayah seluruh Indonesia☁️",Positif
versi Update malah error,Negatif
sangat bermanfaat,Negatif
"diupdate apkikasinya malah tambah kacau. semua harus manual, tidak terdeteksi lokasi secara otomatis. ribet amat. Diupdate bukannya lbh baik malah lbh hancur. MAU LIHAT CUACA MARITIM TIDAK BISA PILIH LOKASI!!!!! MASA OTOMATIS GUNUNG SAHARI?????? DIUPDATE HARUSNYA LEBIH BAIK, INI MALAH JELEEEEKKKKKKKK!!!!!!",Negatif
"aplikasi cacat, ga bisa dibuka",Negatif
ok,Positif
baik,Positif
"ini ngape layar nya blank(item) gini semenjak apdet, ki pie we deng",Negatif
semoga bermanfaat.,Positif
"tolong kakak aplikasinya ngebug,saat scroll kliatan patah patah angka metrik atau coding setelah pembaharuan kemarin",Negatif
bagus sangat membantu tapi masih ada kekurangan ya itu radar cuaca dan citra satelit masih ada bug eror kadang mohon di perbaiki,Negatif
"kocak kaga ada Widget. notifikasi ribet banget, puanjang banget risih banget lihat nya",Negatif
"Setelah upgrade skarang jadi APK gagal, sekelas pentium 1 sangat lelet, susah masuknya..Gak berfungsi blas..",Negatif
"Aplikasi bagus dan bisa membantu inf ttg kejadian gempa di sekitar kita ,",Positif
kurang tepat dan kurang akurat untuk berita cuaca nya,Negatif
"kalau yg ini saya percaya cuacanya semuanya yg ada di bmkg sudah lengkap, normal,dan bagus gambarnya dan saya akan kasih bintangnya 5 saja dan terima kasih atas bantuannya ya",Positif
